game_id,tournament_en,team1,team2,score1,score2,team1_win,bestOf,games_played,datetime
147628,DreamLeague Season 29. Closed Qualifiers,Ivory,REKONIX,0,3,0,5,3,2026-04-14 11:00:00
147639,DreamLeague Season 29. Closed Qualifiers,Ivory,REKONIX,0,3,0,5,3,2026-04-14 11:00:00
147631,DreamLeague Season 29. Closed Qualifiers,Ivory,REKONIX,0,3,0,5,3,2026-04-14 11:00:00
147620,DreamLeague Season 29. Closed Qualifiers,Team Resilience,Roar Gaming,0,2,0,3,2,2026-04-14 07:00:00
147621,DreamLeague Season 29. Closed Qualifiers,Team Resilience,Roar Gaming,0,2,0,3,2,2026-04-14 07:00:00
147619,DreamLeague Season 29. Closed Qualifiers,Team Nemesis,REKONIX,1,2,0,3,3,2026-04-14 07:00:00
147622,DreamLeague Season 29. Closed Qualifiers,Team Nemesis,REKONIX,1,2,0,3,3,2026-04-14 07:00:00
147626,DreamLeague Season 29. Closed Qualifiers,Team Nemesis,REKONIX,1,2,0,3,3,2026-04-14 07:00:00
147623,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,BTC Gaming,2,1,1,3,3,2026-04-14 04:00:00
147624,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,BTC Gaming,2,1,1,3,3,2026-04-14 04:00:00
147625,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,BTC Gaming,2,1,1,3,3,2026-04-14 04:00:00
147616,DreamLeague Season 29. Closed Qualifiers,South America Rejects,Heroic,1,2,0,3,3,2026-04-14 04:00:00
147617,DreamLeague Season 29. Closed Qualifiers,South America Rejects,Heroic,1,2,0,3,3,2026-04-14 04:00:00
147618,DreamLeague Season 29. Closed Qualifiers,South America Rejects,Heroic,1,2,0,3,3,2026-04-14 04:00:00
147608,DreamLeague Season 29. Closed Qualifiers,BTC Gaming,Estar Backs,2,1,1,3,3,2026-04-14 00:00:00
147614,DreamLeague Season 29. Closed Qualifiers,BTC Gaming,Estar Backs,2,1,1,3,3,2026-04-14 00:00:00
147615,DreamLeague Season 29. Closed Qualifiers,BTC Gaming,Estar Backs,2,1,1,3,3,2026-04-14 00:00:00
147613,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,Hokori,2,0,1,3,2,2026-04-14 00:00:00
147609,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,Hokori,2,0,1,3,2,2026-04-14 00:00:00
147540,DreamLeague Season 29. Closed Qualifiers,Not,DarkStorm,1,0,1,3,1,2026-04-13 23:00:00
147604,DreamLeague Season 29. Closed Qualifiers,Virtus.pro,MOUZ,2,1,1,3,3,2026-04-13 21:00:00
147602,DreamLeague Season 29. Closed Qualifiers,Virtus.pro,MOUZ,2,1,1,3,3,2026-04-13 21:00:00
147591,DreamLeague Season 29. Closed Qualifiers,Virtus.pro,MOUZ,2,1,1,3,3,2026-04-13 21:00:00
147583,DreamLeague Season 29. Closed Qualifiers,Estar Backs,chandogs,2,0,1,3,2,2026-04-13 20:00:00
147603,DreamLeague Season 29. Closed Qualifiers,Gior Dota Team,Hokori,1,2,0,3,3,2026-04-13 20:00:00
147579,DreamLeague Season 29. Closed Qualifiers,L1ga Team,Nemiga Gaming,2,0,1,3,2,2026-04-13 20:00:00
147593,DreamLeague Season 29. Closed Qualifiers,Gior Dota Team,Hokori,1,2,0,3,3,2026-04-13 20:00:00
147586,DreamLeague Season 29. Closed Qualifiers,L1ga Team,Nemiga Gaming,2,0,1,3,2,2026-04-13 20:00:00
147580,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Power Rangers,2,0,1,3,2,2026-04-13 20:00:00
147587,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Power Rangers,2,0,1,3,2,2026-04-13 20:00:00
147592,DreamLeague Season 29. Closed Qualifiers,Estar Backs,chandogs,2,0,1,3,2,2026-04-13 20:00:00
147581,DreamLeague Season 29. Closed Qualifiers,Gior Dota Team,Hokori,1,2,0,3,3,2026-04-13 20:00:00
147570,DreamLeague Season 29. Closed Qualifiers,GamerLegion,Amaru Gaming,2,0,1,3,2,2026-04-13 19:00:00
147584,DreamLeague Season 29. Closed Qualifiers,GamerLegion,Amaru Gaming,2,0,1,3,2,2026-04-13 19:00:00
147560,DreamLeague Season 29. Closed Qualifiers,Zero Tenacity,Team Lynx,1,2,0,3,3,2026-04-13 17:00:00
147578,DreamLeague Season 29. Closed Qualifiers,Zero Tenacity,Team Lynx,1,2,0,3,3,2026-04-13 17:00:00
147566,DreamLeague Season 29. Closed Qualifiers,Zero Tenacity,Team Lynx,1,2,0,3,3,2026-04-13 17:00:00
